type,state,statecode,covid19Name,apiName,district
District,assam,AS,Dima Hasao,dima_hasao,dima_hasao
District,nagaland,NL,Dimapur,dimapur,dimapur
District,tamil_nadu,TN,Dindigul,dindigul,dindigul
District,madhya_pradesh,MP,Dindori,dindori,dindori
District,daman_and_diu,DD,Diu,diu,diu
District,jammu_and_kashmir,JK,Doda,doda,doda
District,jharkhand,JH,Dumka,dumka,dumka
District,rajasthan,RJ,Dungarpur,dungarpur,dungarpur
District,chhattisgarh,CT,Durg,durg,durg
District,bihar,BR,East Champaran,purba_champaran,purba_champaran
District,nct_of_delhi,DL,East Delhi,west,west
District,meghalaya,ML,East Garo Hills,east_garo_hills,east_garo_hills
District,andhra_pradesh,AD,East Godavari,east_godavari,east_godavari
District,meghalaya,ML,East Jaintia Hills,jaintia_hills,jaintia_hills
District,arunachal_pradesh,AR,East Kameng,east_kameng,east_kameng
District,meghalaya,ML,East Khasi Hills,east_khasi_hills,east_khasi_hills
District,arunachal_pradesh,AR,East Siang,east_siang,east_siang
District,sikkim,SK,East Sikkim,east_sikkim,east_sikkim
District,jharkhand,JH,East Singhbhum,purbi_singhbhum,purbi_singhbhum
District,kerala,KL,Ernakulam,ernakulam,ernakulam
District,tamil_nadu,TN,Erode,erode,erode
District,uttar_pradesh,UP,Etah,etah,etah
District,uttar_pradesh,UP,Etawah,etawah,etawah
District,haryana,HR,Faridabad,faridabad,faridabad
District,punjab,PB,Faridkot,faridkot,faridkot
District,uttar_pradesh,UP,Farrukhabad,farrukhabad,farrukhabad
District,haryana,HR,Fatehabad,fatehabad,fatehabad
District,punjab,PB,Fatehgarh Sahib,fatehgarh_sahib,fatehgarh_sahib
District,uttar_pradesh,UP,Fatehpur,fatehpur,fatehpur
District,punjab,PB,Fazilka,fazilka,fazilka
District,uttar_pradesh,UP,Ferozepur,firozabad,firozabad
District,punjab,PB,Firozabad,firozpur,firozpur
District,karnataka,KA,Gadag,gadag,gadag
District,maharashtra,MH,Gadchiroli,garhchiroli,garhchiroli
District,odisha,OR,Gajapati,gajapati,gajapati
District,jammu_and_kashmir,JK,Ganderbal,ganderbal,ganderbal
District,gujarat,GJ,Gandhinagar,gandhinagar,gandhinagar
District,rajasthan,RJ,Ganganagar,ganganagar,ganganagar
District,odisha,OR,Ganjam,ganjam,ganjam
District,jharkhand,JH,Garhwa,garhwa,garhwa
District,chhattisgarh,CT,Gariaband,gariaband,gariaband
District,uttar_pradesh,UP,Gautam Buddha Nagar,gautam_buddha_nagar,gautam_buddha_nagar
District,bihar,BR,Gaya,gaya,gaya
District,uttar_pradesh,UP,Ghaziabad,ghaziabad,ghaziabad
District,uttar_pradesh,UP,Ghazipur,ghazipur,ghazipur
District,gujarat,GJ,Gir Somnath,gir_somnath,gir_somnath
District,jharkhand,JH,Giridih,giridih,giridih
District,assam,AS,Goalpara,goalpara,goalpara
District,jharkhand,JH,Godda,godda,godda
District,assam,AS,Golaghat,golaghat,golaghat
District,tripura,TR,Gomati,gomati,gomati
District,uttar_pradesh,UP,Gonda,gonda,gonda
District,maharashtra,MH,Gondia,gondiya,gondiya
District,bihar,BR,Gopalganj,gopalganj,gopalganj
District,uttar_pradesh,UP,Gorakhpur,gorakhpur,gorakhpur
District,jharkhand,JH,Gumla,gumla,gumla
District,madhya_pradesh,MP,Guna,guna,guna
District,andhra_pradesh,AD,Guntur,guntur,guntur
District,punjab,PB,Gurdaspur,gurdaspur,gurdaspur
District,haryana,HR,Gurugram,gurgaon,gurgaon
District,madhya_pradesh,MP,Gwalior,gwalior,gwalior
District,assam,AS,Hailakandi,hailakandi,hailakandi
District,himachal_pradesh,HP,Hamirpur,hamirpur,hamirpur
District,uttar_pradesh,UP,Hamirpur,hamirpurup,hamirpurup
District,rajasthan,RJ,Hanumangarh,hanumangarh,hanumangarh
District,uttar_pradesh,UP,Hapur,hapur,hapur
District,madhya_pradesh,MP,Harda,harda,harda
District,uttar_pradesh,UP,Hardoi,hardoi,hardoi
District,uttarakhand,UT,Haridwar,hardwar,hardwar
District,karnataka,KA,Hassan,hassan,hassan
District,uttar_pradesh,UP,Hathras,hathras,hathras
District,karnataka,KA,Haveri,haveri,haveri
District,jharkhand,JH,Hazaribagh,hazaribagh,hazaribagh
District,maharashtra,MH,Hingoli,hingoli,hingoli
District,haryana,HR,Hisar,hisar,hisar
District,mizoram,MZ,Hnahthial,lunglei,lunglei
District,assam,AS,Hojai,nagaon,nagaon
District,west_bengal,WB,Hooghly,hugli,hugli
District,madhya_pradesh,MP,Hoshangabad,hoshangabad,hoshangabad
District,punjab,PB,Hoshiarpur,hoshiarpur,hoshiarpur
District,west_bengal,WB,Howrah,haora,haora
District,telangana,TG,Hyderabad,hyderabad,hyderabad
District,kerala,KL,Idukki,idukki,idukki
District,manipur,MN,Imphal East,imphal_east,imphal_east
District,manipur,MN,Imphal West,imphal_west,imphal_west
District,madhya_pradesh,MP,Indore,indore,indore
District,madhya_pradesh,MP,Jabalpur,jabalpur,jabalpur
District,odisha,OR,Jagatsinghpur,jagatsinghapur,jagatsinghapur
District,telangana,TG,Jagtial,jagtial,jagtial
District,rajasthan,RJ,Jaipur,jaipur,jaipur
District,rajasthan,RJ,Jaisalmer,jaisalmer,jaisalmer
District,odisha,OR,Jajpur,jajapur,jajapur
District,punjab,PB,Jalandhar,jalandhar,jalandhar
District,uttar_pradesh,UP,Jalaun,jalaun,jalaun
District,maharashtra,MH,Jalgaon,jalgaon,jalgaon
District,maharashtra,MH,Jalna,jalna,jalna
District,rajasthan,RJ,Jalore,jalor,jalor
District,west_bengal,WB,Jalpaiguri,jalpaiguri,jalpaiguri
District,jammu_and_kashmir,JK,Jammu,jammu,jammu
District,gujarat,GJ,Jamnagar,jamnagar,jamnagar
District,jharkhand,JH,Jamtara,jamtara,jamtara
District,bihar,BR,Jamui,jamui,jamui
District,telangana,TG,Jangaon,jangoan,jangoan
District,chhattisgarh,CT,Janjgir Champa,janjgir-champa,janjgir-champa
District,chhattisgarh,CT,Jashpur,jashpur,jashpur
District,uttar_pradesh,UP,Jaunpur,jaunpur,jaunpur
District,telangana,TG,Jayashankar Bhupalapally,jayashankar_bhupalpally,jayashankar_bhupalpally
District,bihar,BR,Jehanabad,jehanabad,jehanabad
District,madhya_pradesh,MP,Jhabua,jhabua,jhabua
District,haryana,HR,Jhajjar,jhajjar,jhajjar
District,rajasthan,RJ,Jhalawar,jhalawar,jhalawar
District,uttar_pradesh,UP,Jhansi,jhansi,jhansi
District,west_bengal,WB,Jhargram,pashchim_medinipur,pashchim_medinipur
District,odisha,OR,Jharsuguda,jharsuguda,jharsuguda
District,rajasthan,RJ,Jhunjhunu,jhunjhunun,jhunjhunun
District,haryana,HR,Jind,jind,jind
District,manipur,MN,Jiribam,imphal_east,imphal_east
District,rajasthan,RJ,Jodhpur,jodhpur,jodhpur
District,telangana,TG,Jogulamba Gadwal,jogulamba_gadwal,jogulamba_gadwal
District,assam,AS,Jorhat,jorhat,jorhat
District,gujarat,GJ,Junagadh,junagadh,junagadh
District,chhattisgarh,CT,Kabeerdham,kabeerdham,kabeerdham
